filename,words,year_float,characters,num_pages,orientation,year,words_per_page,chars_per_word,appx_start,ref_start,appx_len_chars,ref_len_chars,appx_len_words,ref_len_words,appx_prop_words,ref_prop_words,appx_prop_chars,ref_prop_chars,ref_words_per_char,appx_words_per_char,body_len_chars,body_len_words
2000/p329-yamauchi,7336,2000.0,50626,10,0.0,2000,733.6,6.90103598691385,False,45931,0,4695,0,639,0.0,0.08710468920392585,0.0,0.09273890886105954,7.347417840375587,,45931,6697
2000/p339-teasley,5429,2000.0,37650,8,0.0,2000,678.625,6.934978817461779,False,32510,0,5140,0,705,0.0,0.1298581690919138,0.0,0.13652058432934927,7.290780141843972,,32510,4724
2000/p41-mamykina,6031,2000.0,39170,8,0.0,2000,753.875,6.494776985574531,False,37078,0,2092,0,279,0.0,0.04626098491129166,0.0,0.05340822057697217,7.49820788530466,,37078,5752
2000/p49-bowers,10554,2000.0,64813,10,0.0,2000,1055.4,6.141083949213568,False,62498,0,2315,0,323,0.0,0.030604510138336177,0.0,0.03571814296514588,7.1671826625387,,62498,10231
2000/p59-godefroid,8858,2000.0,57450,10,0.0,2000,885.8,6.485662677805374,False,52098,0,5352,0,776,0.0,0.0876044253781892,0.0,0.09315926892950392,6.896907216494846,,52098,8082
2000/p69-preguica,8223,2000.0,56905,10,0.0,2000,822.3,6.9202237626170495,False,53311,0,3594,0,476,0.0,0.05788641614982366,0.0,0.06315789473684211,7.550420168067227,,53311,7747
2000/p79-nardi,8873,2000.0,57242,10,0.0,2000,887.3,6.451256621210414,False,50308,0,6934,0,966,0.0,0.10886960441789699,0.0,0.12113483106809685,7.178053830227744,,50308,7907
2000/p89-milewski,4841,2000.0,33127,8,0.0,2000,605.125,6.843007643048957,False,30083,0,3044,0,414,0.0,0.08551952076017352,0.0,0.0918887916201286,7.352657004830918,,30083,4427
2000/p97-smith,11024,2000.0,75589,9,0.0,2000,1224.888888888889,6.856767053701016,False,72258,0,3331,0,446,0.0,0.04045718432510886,0.0,0.04406725846353306,7.468609865470852,,72258,10578
2002/p106-prante,6982,2002.0,47245,10,0.0,2002,698.2,6.766685763391578,False,40321,0,6924,0,918,0.0,0.1314809510169006,0.0,0.14655519102550535,7.542483660130719,,40321,6064
2002/p116-mcnee,7994,2002.0,52626,10,0.0,2002,799.4,6.583187390542907,False,49420,0,3206,0,447,0.0,0.05591693770327746,0.0,0.06092045756850226,7.172259507829978,,49420,7547
2002/p11-isaacs,9287,2002.0,63600,10,0.0,2002,928.7,6.848282545493701,False,60060,0,3540,0,486,0.0,0.052331215677829224,0.0,0.05566037735849057,7.283950617283951,,60060,8801
2002/p126-ribak,6866,2002.0,45166,10,0.0,2002,686.6,6.578211476842412,False,38626,0,6540,0,859,0.0,0.1251092339062045,0.0,0.14479918522782625,7.613504074505238,,38626,6007
2002/p136-girgensohn,7883,2002.0,51321,10,0.0,2002,788.3,6.5103387035392615,False,45925,0,5396,0,751,0.0,0.0952682988709882,0.0,0.10514214454122094,7.18508655126498,,45925,7132
2002/p146-grinter,8969,2002.0,57844,10,0.0,2002,896.9,6.449325454342736,False,52372,0,5472,0,754,0.0,0.08406734307057644,0.0,0.09459926699398381,7.257294429708223,,52372,8215
2002/p156-hindmarsh,8648,2002.0,56384,10,0.0,2002,864.8,6.519888991674375,False,53476,0,2908,0,417,0.0,0.048219241443108234,0.0,0.05157491486946651,6.973621103117506,,53476,8231
2002/p166-frohlich,9294,2002.0,64364,10,0.0,2002,929.4,6.925328168710997,False,61411,0,2953,0,419,0.0,0.04508284914998924,0.0,0.04587968429556895,7.047732696897374,,61411,8875
2002/p176-bossen,8462,2002.0,54860,10,0.0,2002,846.2,6.483100921767903,False,51791,0,3069,0,372,0.0,0.043961238477901204,0.0,0.055942398833394094,8.25,,51791,8090
2002/p186-tuikka,8092,2002.0,52044,10,0.0,2002,809.2,6.431537320810677,False,47150,0,4894,0,680,0.0,0.08403361344537816,0.0,0.0940358158481285,7.197058823529412,,47150,7412
